date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-03,Dallas Mavericks @ Houston Rockets,214.5,NO,64,64,212.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (100.2) | Houston Rockets hot (HOT)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,217.0,NO,69,69,220.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.5) | Detroit Pistons hot (WARM)
2025-11-03,Sacramento Kings @ Denver Nuggets,224.5,YES,80,80,254.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (101.2) | Both teams neutral form
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,224.5,MAYBE,75,75,238.0,True,SKIPPED,Elite offense (avg ORtg: 116.7) | Fast pace (102.7) | Both teams neutral form
2025-11-03,Miami Heat @ Los Angeles Clippers,219.0,NO,57,57,239.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (100.8) | Moderate buffer (14.8 pts above minimum)
2025-11-03,Miami Heat @ Los Angeles Clippers,219.0,NO,57,57,239.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (100.8) | Moderate buffer (14.8 pts above minimum)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,217.0,NO,69,69,220.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.5) | Detroit Pistons hot (WARM)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,224.5,MAYBE,75,75,238.0,True,SKIPPED,Elite offense (avg ORtg: 116.7) | Fast pace (102.7) | Both teams neutral form
2025-11-03,Sacramento Kings @ Denver Nuggets,224.5,YES,80,80,254.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (101.2) | Both teams neutral form
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,215.0,NO,58,58,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.3) | Both teams neutral form
2025-11-03,Milwaukee Bucks @ Indiana Pacers,216.0,NO,54,54,232.0,True,SKIPPED,Fast pace (102.1) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-03,Utah Jazz @ Boston Celtics,210.0,NO,60,60,208.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-03,Washington Wizards @ New York Knicks,215.5,NO,67,67,221.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (101.0) | Both teams hot (HOT/WARM)
